ProdSalesCode,p,d,q,P,D,Q,M
06820302CA_2071,2,0,1,1,0,1,12
06820302CA_2107,3,0,2,3,0,2,12
06820302CA_2174,1,1,2,1,1,3,6
06820302CA_2303,1,1,1,2,0,2,3
06820302CA_2378,3,0,3,3,0,2,6
06820302CA_2389,3,0,1,2,0,2,0
06820302CA_4009,1,0,2,1,0,3,6
06820302CA_8177,1,0,2,2,1,1,9
06821300CA_1047,3,0,1,1,1,2,9
06821300CA_1213,3,1,2,2,1,1,9
06821300CA_1216,1,0,2,2,1,3,3
06821300CA_1259,1,0,1,3,0,1,3
06821300CA_1328,1,1,1,3,1,3,3
06821300CA_2059,3,0,3,2,1,3,6
06821300CA_2065,3,0,1,1,0,1,6
06821300CA_2090,2,1,3,2,0,2,0
06821300CA_2107,2,1,1,1,0,3,3
06821300CA_2135,1,0,2,1,1,2,12
06821300CA_2137,1,0,1,3,1,1,3
06821300CA_2164,1,0,2,1,1,1,6
06821300CA_2217,2,1,1,2,0,3,0
06821300CA_2244,1,1,2,2,0,2,9
06821300CA_2337,1,1,2,3,1,1,12
06821300CA_2378,2,1,1,2,1,1,6
06821300CA_3973,1,0,1,3,0,2,12
06821300CA_3993,1,0,1,2,0,3,6
06821300CA_8165,3,1,2,1,1,2,12
06830002CA_1005,3,1,2,3,0,3,3
06830002CA_1034,1,1,1,1,0,3,3
06830002CA_1038,2,1,1,1,0,3,9
06830002CA_1235,1,1,3,1,1,2,12
06830002CA_1259,1,0,3,2,1,2,3
06830002CA_2059,3,1,1,1,0,2,9
06830002CA_2065,2,1,2,2,0,3,3
06830002CA_2137,3,0,1,3,0,3,6
06830002CA_2244,1,1,2,3,0,2,6
06830002CA_2369,1,1,2,2,1,3,6
06830002CA_2378,1,0,2,2,0,3,9
06830002CA_3971,1,1,3,1,1,3,3
06840106CA_1005,3,1,3,3,1,2,12
06840106CA_1015,2,1,3,1,0,2,12
06840106CA_1034,1,0,3,2,1,1,12
06840106CA_1038,1,1,1,3,0,2,3
06840106CA_1099,3,0,2,2,0,1,9
06840106CA_1216,3,0,3,2,1,1,9
06840106CA_1289,2,0,1,2,0,1,9
06840106CA_1602,1,0,1,1,0,1,12
06840106CA_1986,1,0,1,3,0,1,12
06840106CA_2059,1,0,1,2,1,1,6
06840106CA_2065,1,0,3,1,1,2,3
06840106CA_2090,3,0,2,2,1,1,9
06840106CA_2107,3,0,1,1,0,1,9
06840106CA_2137,3,0,2,1,0,2,6
06840106CA_2217,3,0,2,1,1,2,9
06840106CA_2352,1,0,1,3,1,2,12
06840106CA_2353,3,1,2,3,0,1,3
06840106CA_2358,3,1,3,3,1,2,9
06840106CA_2378,3,0,2,1,1,2,6
06840106CA_8141,3,0,3,3,0,1,6
06840401AO_1707,1,0,1,3,1,2,12
06863108CA_1006,2,1,1,3,1,2,3
06863108CA_1019,2,0,3,3,1,3,3
06863108CA_1034,3,1,1,1,0,2,9
06863108CA_1038,3,1,2,1,1,2,3
06863108CA_1047,3,1,1,1,1,1,9
06863108CA_1053,1,0,1,1,0,2,0
06863108CA_1080,1,1,1,3,0,3,3
06863108CA_1099,2,1,2,1,1,2,3
06863108CA_1213,2,0,3,1,1,1,3
06863108CA_1216,2,0,1,3,1,1,9
06863108CA_1230,3,1,3,3,1,1,9
06863108CA_1259,2,1,2,3,0,2,9
06863108CA_1328,2,1,2,3,1,1,9
06863108CA_2051,3,0,1,1,0,1,0
06863108CA_2059,1,0,2,3,1,2,9
06863108CA_2061,3,1,1,1,1,1,6
06863108CA_2062,3,0,3,2,1,3,3
06863108CA_2065,2,0,1,2,0,2,12
06863108CA_2071,1,1,3,2,1,1,6
06863108CA_2090,2,1,3,3,1,1,9
06863108CA_2107,3,0,2,1,0,1,0
06863108CA_2137,1,0,3,3,0,3,3
06863108CA_2164,3,1,2,1,1,2,9
06863108CA_2174,1,0,1,2,0,1,3
06863108CA_2180,2,1,3,2,1,3,3
06863108CA_2220,1,1,1,2,0,1,6
06863108CA_2224,3,0,3,3,0,3,6
06863108CA_2227,1,0,2,1,0,3,3
06863108CA_2274,1,1,3,2,0,2,3
06863108CA_2339,1,0,2,3,1,1,9
06863108CA_2352,3,1,3,2,1,1,9
06863108CA_2354,2,0,2,3,0,1,6
06863108CA_2369,2,0,2,2,0,1,3
06863108CA_2378,1,0,1,3,0,3,3
06863108CA_2406,3,0,2,3,1,2,6
06863108CA_2412,3,0,2,1,1,2,6
06863108CA_4048,2,0,3,1,0,1,6
06863108CA_8201,2,1,1,3,1,1,12
07730402CE_1216,2,1,3,2,0,3,9
07730402CE_1259,3,0,2,2,1,3,3
07730402CE_1260,3,1,1,2,1,3,6
07730402CE_2061,2,0,3,3,1,1,6
07730402CE_2062,1,1,1,2,1,2,12
07730402CE_2065,3,1,3,3,1,1,9
07730402CE_2162,3,0,1,2,1,1,12
07730402CE_2203,1,0,1,2,1,3,6
07730402CE_2261,2,1,1,1,0,1,3
07730402CE_2378,3,0,2,2,1,2,6
07730402CE_3973,1,0,3,3,0,2,3
10903302US_1216,1,0,2,3,1,2,9
10903302US_1230,3,0,1,1,0,2,6
10903302US_1259,1,0,3,2,1,1,9
10903302US_1274,2,1,1,3,1,3,3
10903302US_1602,2,1,2,1,1,1,9
10903302US_1805,3,0,1,3,0,3,6
10903302US_2062,2,1,1,3,0,1,12
10903302US_2065,1,0,1,1,0,2,12
10903302US_2107,2,0,3,1,1,2,9
10903302US_2137,2,1,2,3,0,1,6
10903302US_2378,2,1,3,1,1,2,9
12140001CA_1015,1,0,2,2,1,2,9
12140001CA_1034,1,1,3,1,0,3,3
12140001CA_1213,3,1,2,2,0,1,12
12140001CA_1216,1,1,1,3,1,1,3
12140001CA_1230,2,1,3,1,1,2,12
12140001CA_1259,2,0,1,2,1,2,9
12140001CA_1274,2,0,3,1,1,2,12
12140001CA_2059,1,0,2,1,1,2,6
12140001CA_2062,1,0,2,2,0,2,0
12140001CA_2065,1,0,2,2,1,2,12
12140001CA_2107,3,1,2,2,0,1,12
12140001CA_2137,3,1,2,2,1,1,12
12140001CA_2269,1,1,2,3,0,1,0
12140001CA_2290,2,0,2,3,1,2,9
12140001CA_2378,1,0,3,2,0,1,12
12151103CA_1006,2,0,2,3,1,1,6
12151103CA_1015,2,0,1,1,0,3,6
12151103CA_1038,3,1,2,3,1,3,6
12151103CA_1078,2,1,3,3,1,1,12
12151103CA_1099,1,1,2,3,0,2,12
12151103CA_1137,3,1,1,3,1,1,12
12151103CA_1213,3,1,1,2,0,2,6
12151103CA_1216,1,0,3,2,0,2,0
12151103CA_1259,2,1,2,3,0,2,12
12151103CA_1274,1,0,2,3,1,3,3
12151103CA_1289,1,0,2,3,0,3,9
12151103CA_1602,3,0,3,2,1,2,9
12151103CA_1603,1,0,3,1,1,2,9
12151103CA_2059,1,0,1,1,0,3,9
12151103CA_2062,2,0,2,2,1,1,12
12151103CA_2065,3,0,1,1,1,1,9
12151103CA_2071,2,0,3,1,0,3,0
12151103CA_2107,2,1,3,1,1,2,6
12151103CA_2137,1,0,1,2,1,1,12
12151103CA_2168,2,0,2,3,1,1,9
12151103CA_2180,2,0,2,3,0,2,0
12151103CA_2227,3,1,1,1,1,2,9
12151103CA_2245,1,1,3,3,1,1,12
12151103CA_2378,2,1,2,3,0,2,12
12151103CA_2410,2,0,3,3,1,2,12
12151103CA_3973,2,0,2,2,0,1,3
12151103CA_3982,1,1,1,2,1,3,6
12151103CA_3993,2,1,2,3,1,2,9
12151103CA_3995,2,1,1,3,0,2,12
12151103CA_7302,1,0,3,3,1,2,12
12151103CA_8136,3,1,2,2,0,2,9
12156109CA_0000,2,0,1,1,1,1,12
12156109CA_1015,3,1,3,3,1,2,12
12156109CA_1019,2,0,2,1,0,1,9
12156109CA_1034,3,0,1,3,0,2,12
12156109CA_1038,1,0,1,3,1,1,9
12156109CA_1047,2,1,3,1,0,3,6
12156109CA_1099,1,0,2,3,1,2,9
12156109CA_1213,3,1,2,2,1,3,6
12156109CA_1216,1,1,3,2,1,2,9
12156109CA_1230,3,0,2,2,0,2,6
12156109CA_1252,3,1,1,1,0,2,6
12156109CA_1259,3,0,1,3,0,2,9
12156109CA_1274,2,0,3,1,0,1,3
12156109CA_1602,1,1,2,2,0,1,6
12156109CA_2059,3,0,2,1,1,2,12
12156109CA_2062,3,0,2,3,1,2,12
12156109CA_2065,3,1,3,3,0,1,12
12156109CA_2107,2,0,1,3,1,2,12
12156109CA_2135,3,1,2,1,1,1,12
12156109CA_2137,3,0,1,3,1,1,6
12156109CA_2174,1,0,2,3,1,2,9
12156109CA_2179,3,0,1,3,0,1,0
12156109CA_2224,2,0,3,3,1,2,12
12156109CA_2227,2,1,3,1,1,3,6
12156109CA_2339,3,0,1,3,1,2,3
12156109CA_2353,3,1,1,1,0,3,9
12156109CA_2378,1,1,1,1,1,1,12
12175300CA_1019,3,0,3,1,1,3,6
12175300CA_1059,1,0,1,2,0,1,0
12175300CA_1213,2,0,3,3,1,2,12
12175300CA_1230,3,1,2,3,1,2,12
12175300CA_1602,2,1,3,2,1,1,3
12175300CA_2043,1,0,2,1,0,2,9
12175300CA_2059,3,0,3,1,0,3,6
12175300CA_2065,2,0,3,3,0,1,3
12175300CA_2107,2,1,1,1,1,1,9
12175300CA_2137,1,1,3,1,1,1,6
12175300CA_2270,2,0,1,3,1,2,3
12175300CA_2378,1,0,1,1,0,1,9
32166102CA_1006,1,0,2,1,1,3,6
32166102CA_1015,3,0,1,2,1,2,3
32166102CA_1019,3,0,3,3,1,1,9
32166102CA_1034,1,0,1,1,0,1,0
32166102CA_1038,2,1,1,1,1,1,9
32166102CA_1078,1,1,2,1,0,2,9
32166102CA_1216,2,1,2,1,0,2,0
32166102CA_1230,2,1,3,1,0,3,9
32166102CA_1259,2,0,2,1,0,3,3
32166102CA_1602,1,1,2,2,1,1,6
32166102CA_2059,1,0,2,3,1,2,12
32166102CA_2065,1,1,1,2,1,2,6
32166102CA_2107,2,1,2,3,0,2,6
32166102CA_2137,1,0,1,1,0,3,0
32166102CA_2174,3,0,3,2,1,3,3
32166102CA_2211,3,0,1,3,0,3,6
32166102CA_2251,3,0,1,3,0,3,6
32166102CA_2308,2,0,3,3,1,3,6
32166102CA_2378,2,1,1,3,1,3,6
32166102CA_2406,2,1,3,3,1,1,12
32166106CE_1038,1,0,2,2,0,3,6
32166106CE_1216,2,0,1,2,1,2,9
32166106CE_1274,2,1,1,2,1,1,3
32166106CE_1680,3,0,3,3,1,2,12
32166106CE_2065,1,0,3,1,0,2,6
32166106CE_2107,1,0,3,2,0,1,12
32166106CE_2153,1,1,2,3,0,2,12
32166106CE_2287,2,0,1,2,0,1,0
32166106CE_2354,3,1,1,3,0,1,6
32166106CE_2369,2,0,2,1,0,2,9
32166106CE_2378,3,1,1,2,1,2,12
32166106CE_2406,3,0,3,1,0,3,9
32166300CA_1019,2,1,3,3,0,3,9
32166300CA_1213,1,0,2,3,1,1,12
32166300CA_1216,1,0,2,1,1,2,6
32166300CA_1252,3,0,1,3,1,1,12
32166300CA_1289,1,1,3,3,0,2,0
32166300CA_2065,3,1,2,3,0,3,3
32166300CA_2107,1,0,3,3,0,3,6
32166300CA_2174,1,0,3,1,1,2,9
32166300CA_2378,3,0,1,2,0,3,9
32566109CA_1015,2,0,2,1,1,1,12
32566109CA_1019,3,1,3,2,1,1,6
32566109CA_1034,2,0,3,1,1,3,6
32566109CA_1038,1,0,2,1,0,3,9
32566109CA_1078,1,0,1,2,0,2,12
32566109CA_1081,1,1,1,2,0,1,3
32566109CA_1099,1,1,3,1,1,2,9
32566109CA_1213,1,0,3,2,0,1,9
32566109CA_1216,1,1,2,3,0,2,6
32566109CA_1224,1,1,3,2,1,3,6
32566109CA_1230,2,1,1,1,0,2,12
32566109CA_1259,3,0,1,3,1,3,6
32566109CA_1274,1,1,3,3,1,1,9
32566109CA_1297,3,1,1,2,1,2,12
32566109CA_1602,1,0,1,1,1,2,12
32566109CA_1680,2,0,2,3,0,2,0
32566109CA_1820,2,1,1,1,1,2,12
32566109CA_2002,2,0,3,1,0,2,9
32566109CA_2059,2,0,2,2,0,3,6
32566109CA_2062,2,1,2,3,1,2,12
32566109CA_2065,2,1,2,3,1,2,12
32566109CA_2071,2,0,3,3,0,2,12
32566109CA_2107,1,0,1,3,1,1,9
32566109CA_2137,1,0,2,2,1,1,9
32566109CA_2168,2,1,3,1,0,1,6
32566109CA_2174,2,0,2,1,1,3,6
32566109CA_2263,1,0,1,2,1,2,9
32566109CA_2278,3,1,3,2,0,2,3
32566109CA_2287,3,1,1,2,1,1,9
32566109CA_2290,2,0,3,3,1,3,6
32566109CA_2300,3,1,2,3,0,1,9
32566109CA_2303,3,1,1,2,0,3,9
32566109CA_2308,2,1,2,2,0,2,9
32566109CA_2337,2,1,2,3,1,2,12
32566109CA_2339,3,1,1,1,0,2,6
32566109CA_2352,3,0,1,2,1,1,12
32566109CA_2353,1,0,3,3,1,1,9
32566109CA_2354,1,0,3,3,0,1,6
32566109CA_2358,3,0,3,1,1,2,12
32566109CA_2378,3,0,1,3,1,2,12
32566109CA_2389,1,0,2,1,1,2,3
32566109CA_2401,1,1,3,2,0,2,6
32566109CA_2406,1,0,1,3,1,2,12
32566109CA_2410,2,1,1,1,1,2,9
32566109CA_3973,2,1,1,1,0,3,9
32566109CA_4006,2,1,2,1,0,1,12
32566109CA_7302,2,1,3,2,0,3,9
32566111CE_0000,1,0,1,1,0,1,0
32566111CE_1019,2,1,2,3,0,1,12
32566111CE_1034,1,1,1,1,1,2,12
32566111CE_1038,2,1,3,3,1,2,9
32566111CE_1077,1,0,2,3,0,1,12
32566111CE_1216,1,0,2,1,0,3,3
32566111CE_2059,2,1,2,3,1,2,3
32566111CE_2065,3,0,1,2,0,2,6
32566111CE_2107,3,0,2,3,1,3,6
32566111CE_2153,3,0,1,3,1,3,3
32566111CE_2183,1,1,3,1,0,1,12
32566111CE_2278,3,1,1,3,0,1,0
32566111CE_2308,3,1,1,3,1,1,9
32566111CE_2339,2,1,3,3,1,1,3
32566111CE_2354,3,0,1,1,1,1,6
32566111CE_2367,2,0,2,1,1,1,9
32566111CE_2378,3,0,3,1,0,3,9
32566111CE_2406,1,1,2,1,1,2,9
34121100CE_1015,3,0,3,3,1,3,6
34121100CE_1047,1,0,1,1,1,1,12
34121100CE_1216,2,0,2,2,0,2,0
34121100CE_1259,2,1,3,2,0,1,12
34121100CE_2059,3,0,1,3,0,1,0
34121100CE_2065,2,1,3,3,1,2,12
34121100CE_2304,3,1,3,1,0,3,3
34121A00CE_0000,1,1,2,3,1,2,12
34121A00CE_1034,3,1,1,3,1,2,12
34121A00CE_1038,1,0,1,2,1,3,3
34121A00CE_1047,2,1,3,3,0,1,0
34121A00CE_1216,1,1,1,1,0,3,3
34121A00CE_1230,2,1,3,1,0,1,6
34121A00CE_1259,2,0,3,3,0,1,9
34121A00CE_2059,2,1,3,3,1,2,9
34121A00CE_2065,2,0,3,2,0,3,9
34121A00CE_2107,2,1,3,3,1,1,6
34121A00CE_2137,1,0,2,1,1,3,6
34121A00CE_2304,2,0,3,3,0,2,3
34121A00CE_2331,2,0,1,3,0,3,3
34121A00CE_2337,3,1,3,3,1,2,9
34121A00CE_2352,3,0,2,3,0,1,12
34121A00CE_2353,3,1,2,2,1,1,12
34121A00CE_2378,3,0,3,3,1,3,6
34121A00CE_2401,3,0,1,2,0,2,6
34121A00CE_3973,1,0,1,3,0,2,9
34121A00CE_8141,3,0,2,2,0,2,3
34131100CE_1015,1,0,1,2,1,2,6
34131100CE_1019,2,1,3,3,1,2,12
34131100CE_1026,2,0,2,2,0,2,9
34131100CE_1034,1,0,1,3,0,3,0
34131100CE_1038,3,1,1,1,1,1,12
34131100CE_1080,2,1,1,3,1,3,6
34131100CE_1099,3,1,3,3,0,2,12
34131100CE_1216,2,0,3,1,0,1,3
34131100CE_1230,2,0,1,1,1,3,6
34131100CE_1259,3,1,2,3,1,2,3
34131100CE_1274,1,1,2,3,1,2,6
34131100CE_1310,1,1,2,3,1,2,12
34131100CE_1328,1,1,1,3,1,3,6
34131100CE_2059,1,1,1,1,0,1,9
34131100CE_2062,3,1,3,2,1,1,12
34131100CE_2065,2,1,2,3,1,2,12
34131100CE_2107,2,1,2,2,1,3,6
34131100CE_2137,2,1,3,3,0,1,12
34131100CE_2217,2,0,1,2,1,2,9
34131100CE_2263,3,1,2,2,0,1,12
34131100CE_2278,3,1,3,1,1,1,12
34131100CE_2293,1,1,1,2,0,1,9
34131100CE_2378,1,0,3,1,1,2,9
34131100CE_2401,3,0,2,3,0,2,3
34131100CE_2406,3,0,1,2,1,1,6
34131100CE_7297,1,0,3,1,1,2,9
34131300CE_0000,1,1,2,3,1,1,12
34131300CE_1019,1,1,1,3,1,2,9
34131300CE_1047,2,1,3,1,0,2,3
34131300CE_1216,1,1,2,3,1,1,9
34131300CE_1259,3,1,3,3,1,1,9
34131300CE_1297,3,1,2,2,0,2,12
34131300CE_2059,1,0,1,1,0,1,0
34131300CE_2062,1,1,3,3,0,2,0
34131300CE_2065,2,1,3,2,0,2,9
34131300CE_2107,2,1,2,2,0,2,0
34131300CE_2137,2,0,2,2,0,1,0
34131300CE_2217,1,1,3,1,1,3,6
34131300CE_2263,3,0,3,3,1,2,12
34131300CE_2378,1,0,1,3,0,3,6
34131300CE_2403,3,0,2,3,0,1,9
34131A00CE_0000,3,0,3,2,0,3,3
34131A00CE_1015,3,0,1,3,0,3,3
34131A00CE_1034,2,0,1,1,0,2,12
34131A00CE_1047,3,0,1,3,1,2,12
34131A00CE_1099,2,0,1,3,1,2,9
34131A00CE_1216,1,0,3,2,0,2,12
34131A00CE_1230,2,1,3,3,1,2,12
34131A00CE_1259,1,0,1,1,0,3,9
34131A00CE_1297,2,1,1,1,0,3,3
34131A00CE_1328,1,0,2,3,1,2,12
34131A00CE_2059,2,1,1,1,0,3,9
34131A00CE_2065,2,0,3,2,1,1,9
34131A00CE_2107,1,1,2,3,1,1,9
34131A00CE_2137,1,1,2,2,1,1,3
34131A00CE_2153,1,1,2,3,1,1,6
34131A00CE_2164,3,0,3,1,0,3,3
34131A00CE_2227,2,1,2,1,1,2,12
34131A00CE_2286,2,1,3,2,0,2,9
34131A00CE_2291,1,1,2,1,0,3,9
34131A00CE_2337,2,1,3,2,1,3,3
34131A00CE_2339,3,0,2,3,0,3,0
34131A00CE_2352,2,1,2,1,1,1,12
34131A00CE_2378,1,0,1,3,0,1,6
34131A00CE_2406,3,1,3,1,1,1,3
34131A00CE_3987,1,0,1,1,1,3,3
34131A00CE_4054,3,1,3,2,1,2,9
34131A00CE_8141,1,0,3,2,0,2,12
34381102CE_1015,2,0,3,3,0,3,3
34381102CE_1047,3,1,3,2,0,2,6
34381102CE_1078,3,1,2,2,0,1,9
34381102CE_1216,1,0,3,2,1,2,3
34381102CE_1230,1,1,3,2,0,1,6
34381102CE_1252,3,1,2,1,0,2,12
34381102CE_1259,3,0,2,2,1,2,9
34381102CE_1289,2,1,3,3,1,2,6
34381102CE_1602,3,0,2,1,0,3,3
34381102CE_2062,2,1,2,3,0,1,9
34381102CE_2065,2,1,2,1,1,3,3
34381102CE_2107,2,0,2,2,1,2,12
34381102CE_2180,1,1,3,2,1,2,6
34381102CE_2287,1,0,1,3,0,2,12
34381102CE_2378,2,0,2,2,1,2,3
34381102CE_2406,3,0,3,1,1,2,9
34381102CE_3995,3,1,3,3,0,2,12
34481100CE_1034,2,0,2,3,1,3,3
34481100CE_1038,2,1,3,1,1,3,6
34481100CE_1216,3,1,3,3,0,1,9
34481100CE_1224,2,1,1,1,0,2,0
34481100CE_1680,3,0,2,1,1,2,3
34481100CE_2059,1,1,2,2,0,1,0
34481100CE_2062,3,0,2,1,0,3,6
34481100CE_2065,3,0,3,2,0,3,3
34481100CE_2278,2,1,1,2,0,2,3
34481100CE_2290,2,0,2,2,0,3,6
34481100CE_2378,1,1,2,3,0,3,9
34481100CE_2406,1,1,3,3,0,1,6
34481100CE_4056,3,1,1,3,1,1,9
34481102CE_0000,3,1,3,3,0,2,9
34481102CE_1099,2,1,1,1,0,2,12
34481102CE_1137,2,1,2,3,1,1,12
34481102CE_1216,2,0,2,3,1,3,3
34481102CE_1259,2,1,2,3,1,2,3
34481102CE_1725,2,0,1,1,1,1,12
34481102CE_2059,2,0,1,2,1,2,9
34481102CE_2062,2,1,3,3,0,2,0
34481102CE_2065,3,0,3,3,1,2,9
34481102CE_2137,1,0,1,2,1,2,9
34481102CE_2182,1,0,2,2,0,2,3
34481102CE_2290,3,0,3,3,0,1,3
34481102CE_2352,1,0,3,3,1,2,9
34481102CE_2378,1,1,1,1,1,2,12
